_id,name,logo,category,used,details,reviews,expires_on,type,location,code
1,Tagcat,image/png,Laptops & Gaming,28,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",1,27/10/2018,Rs.200 Cash Off,Coimbatore,A3481:BJ0AOS
2,Skyndu,image/png,Laptops & Gaming,48,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2,06/10/2018,50% Discount,Solapur,A0935:76EBG9
3,Eidel,image/x-tiff,Recharge,96,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo.,4,16/10/2018,Rs.100 Cash Off,Pune,L6175:9OGH9V
4,Shufflebeat,image/pjpeg,Computers,85,"Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",4,23/09/2018,Rs.100 Cashback,Jodhpur,N6231:3HZ0UO
5,Buzzshare,image/png,Recharge,55,Aenean sit amet justo. Morbi ut odio.,5,18/09/2018,40% Discount,Allahabad,Q7680:YF91KP
6,Wordpedia,image/jpeg,Recharge,51,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2,30/10/2018,Rs.80 Cash Off,Nagpur,Z4823:YIT62H
7,Skimia,image/pjpeg,TV/Audio/Video & Movies,16,Phasellus in felis.,5,26/09/2018,40% Discount,Shivaji Nagar,S7360:308YIE
8,Leexo,image/png,Beauty & Health,81,Suspendisse potenti.,5,05/10/2018,Rs.300 Cash Off,Nashik,A2197:S11SRF
9,Voonte,image/png,Computers,92,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1,29/10/2018,Rs.60 Cash Off,Coimbatore,O9682:MVBZWW
10,Feednation,image/png,Entertainment,48,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",3,23/10/2018,Rs.30 Cash Off,Patna,U4674:C0GE9G
11,LiveZ,image/tiff,Mobiles & Tablets,38,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,5,15/09/2018,Rs.10 Cash Off,Agra,V5765:49ZE4V
12,Youopia,image/x-tiff,Mobiles & Tablets,46,Proin risus.,3,06/10/2018,Rs.90 Cash Off,Thane,N8932:Z5UL2B
13,Linkbuzz,image/jpeg,Computers,88,Nulla ut erat id mauris vulputate elementum.,2,26/09/2018,90% Discount,Visakhapatnam,V2944:UF8BOY
14,Wordpedia,image/gif,Recharge,35,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,0,14/09/2018,Rs.300 Cashback,Vadodara,V5158:3ZXJCP
15,Janyx,image/png,Food & Dining,63,In quis justo. Maecenas rhoncus aliquam lacus.,3,01/10/2018,Rs.500 Cashback,Lucknow,F9425:FM64VD
16,Topdrive,image/pjpeg,Food & Dining,82,Nunc purus.,4,28/09/2018,Rs.400 Cashback,Nashik,G9799:GACU2G
17,Devbug,image/x-tiff,Entertainment,27,Donec quis orci eget orci vehicula condimentum.,4,23/09/2018,Rs.300 Cashback,Coimbatore,G5178:3LSKMZ
18,Babbleopia,image/pjpeg,Fashion,27,Pellentesque viverra pede ac diam.,5,25/10/2018,Rs.300 Cash Off,Pimpri,U5290:T2UGFK
19,Brainverse,image/pjpeg,Laptops & Gaming,15,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",4,21/10/2018,80% Discount,Chandigarh,C8031:MABANK
20,Edgetag,image/jpeg,Entertainment,80,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",0,21/09/2018,50% Discount,Nagpur,P2749:DKFLMH
21,Jetpulse,image/gif,Mobiles & Tablets,44,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",3,27/09/2018,Rs.10 Cash Off,Ghaziabad,L9846:TFVK48
22,Twimm,image/pjpeg,Laptops & Gaming,36,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4,29/10/2018,Rs.40 Cash Off,Hyderabad,I7092:SH7TK5
23,Pixoboo,image/pjpeg,Entertainment,73,Nulla facilisi.,1,11/10/2018,Rs.400 Cash Off,Chandigarh,W7499:7J404Q
24,Vimbo,image/x-tiff,Laptops & Gaming,72,Nulla nisl. Nunc nisl.,2,07/10/2018,Rs.40 Cash Off,Delhi,M2125:EUZWO2
25,Yabox,image/png,Food & Dining,76,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",3,21/10/2018,Rs.500 Cashback,Vadodara,K6758:ON8QHY
26,Muxo,image/gif,Recharge,97,Nunc purus.,2,18/10/2018,50% Discount,Bengaluru,P0380:079W44
27,Dabtype,image/x-tiff,Computers,15,Donec vitae nisi.,5,22/09/2018,Rs.50 Cashback,Indore,O5465:96P0JL
28,Mita,image/gif,Computers,78,Morbi porttitor lorem id ligula.,0,03/10/2018,90% Discount,Lucknow,K3853:59H8FX
29,Jabbercube,image/pjpeg,Beauty & Health,1,Vivamus vel nulla eget eros elementum pellentesque.,1,15/09/2018,Rs.80 Cash Off,Navi Mumbai,D8119:WICKTG
30,Jayo,image/x-tiff,Recharge,72,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",2,12/10/2018,20% Discount,Dombivli,B1466:30LQPX
31,Fivespan,image/tiff,TV/Audio/Video & Movies,86,Integer ac neque.,1,22/10/2018,Rs.30 Cash Off,Guwahati,S7109:G835P1
32,Skidoo,image/gif,Mobiles & Tablets,63,Donec quis orci eget orci vehicula condimentum.,2,12/10/2018,Rs.50 Cashback,Gwalior,Q5451:2TYFG7
33,Divanoodle,image/pjpeg,Laptops & Gaming,37,Nulla tellus.,2,15/10/2018,60% Discount,Kalyan,I5239:RG9U6G
34,Myworks,image/tiff,Mobiles & Tablets,72,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1,21/09/2018,40% Discount,Hyderabad,Q2523:RBMQ8S
35,Shuffledrive,image/png,Home Furnishing & Decor,99,Curabitur at ipsum ac tellus semper interdum.,4,10/10/2018,Rs.20 Cash Off,Hyderabad,B6599:8ECVAN
36,Fatz,image/tiff,Computers,86,Maecenas ut massa quis augue luctus tincidunt.,0,16/09/2018,Rs.500 Cash Off,Kalyan,L6838:HA0AZV
37,Tagcat,image/gif,Laptops & Gaming,59,Nulla nisl.,1,16/09/2018,20% Discount,Thane,E5021:O9SHEU
38,Zoomlounge,image/jpeg,Laptops & Gaming,42,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,3,21/09/2018,Rs.400 Cash Off,Srinagar,R5192:PHYOOO
39,Jabbersphere,image/tiff,Laptops & Gaming,12,Proin interdum mauris non ligula pellentesque ultrices.,2,18/09/2018,Rs.30 Cash Off,Surat,G9310:6UBY4Y
